iter	Passed	Remaining
0	52	52199
1	52	26354
2	53	17655
3	53	13298
4	53	10692
5	53	8941
6	54	7688
7	54	6752
8	54	6026
9	55	5448
10	55	4971
11	55	4570
12	55	4234
13	55	3942
14	56	3692
15	56	3471
16	56	3278
17	56	3105
18	57	2952
19	57	2813
20	57	2688
21	57	2575
22	58	2469
23	58	2372
24	58	2284
25	58	2203
26	59	2129
27	59	2059
28	59	1994
29	59	1934
30	60	1877
31	60	1824
32	60	1776
33	60	1729
34	61	1685
35	61	1644
36	61	1603
37	61	1566
38	62	1531
39	62	1497
40	62	1466
41	62	1435
42	63	1407
43	63	1379
44	63	1352
45	64	1327
46	64	1303
47	64	1281
48	64	1258
49	65	1236
50	65	1216
51	65	1197
52	65	1178
53	66	1159
54	66	1142
55	66	1124
56	66	1107
57	67	1092
58	67	1076
59	67	1061
60	67	1046
61	68	1032
62	68	1018
63	68	1004
64	68	991
65	69	979
66	69	967
67	69	955
68	69	944
69	70	932
70	70	921
71	70	910
72	70	901
73	71	890
74	71	881
75	71	871
76	71	862
77	72	854
78	72	845
79	72	837
80	73	829
81	73	821
82	73	813
83	73	805
84	74	798
85	74	791
86	74	784
87	74	777
88	75	770
89	75	764
90	75	757
91	76	750
92	76	744
93	76	738
94	76	732
95	77	726
96	77	720
97	77	714
98	77	708
99	78	702
100	78	697
101	78	692
102	78	687
103	79	682
104	79	677
105	79	672
106	80	667
107	80	663
108	80	658
109	80	653
110	81	649
111	81	644
112	81	640
113	81	635
114	82	631
115	82	627
116	82	623
117	82	619
118	83	615
119	83	612
120	83	608
121	84	604
122	84	601
123	84	597
124	84	593
125	85	590
126	85	586
127	85	583
128	85	580
129	86	577
130	86	573
131	86	570
132	87	567
133	87	564
134	87	560
135	87	557
136	88	554
137	88	551
138	88	548
139	88	545
140	89	542
141	89	540
142	89	537
143	89	534
144	90	531
145	90	529
146	90	526
147	90	523
148	91	521
149	91	518
150	91	515
151	92	513
152	92	510
153	92	508
154	92	506
155	93	503
156	93	501
157	93	498
158	93	496
159	94	494
160	94	491
161	94	489
162	94	487
163	95	485
164	95	483
165	95	480
166	95	478
167	96	476
168	96	474
169	96	472
170	97	470
171	97	468
172	97	466
173	97	464
174	98	462
175	98	460
176	98	458
177	98	456
178	99	454
179	99	452
180	99	451
181	99	449
182	100	447
183	100	445
184	100	443
185	101	442
186	101	440
187	101	438
188	101	436
189	102	435
190	102	433
191	102	431
192	102	430
193	103	428
194	103	426
195	103	425
196	103	423
197	104	421
198	104	420
199	104	418
200	104	417
201	105	415
202	105	414
203	105	412
204	106	411
205	106	409
206	106	408
207	106	406
208	107	405
209	107	403
210	107	402
211	107	400
212	108	399
213	108	398
214	108	396
215	108	395
216	109	393
217	109	392
218	109	391
219	109	389
220	110	388
221	110	387
222	110	385
223	111	384
224	111	383
225	111	382
226	111	380
227	112	379
228	112	378
229	112	376
230	112	375
231	113	374
232	113	373
233	113	371
234	113	370
235	114	369
236	114	368
237	114	367
238	114	365
239	115	364
240	115	363
241	115	362
242	115	361
243	116	360
244	116	359
245	116	357
246	117	356
247	117	355
248	117	354
249	117	353
250	118	352
251	118	351
252	118	350
253	118	349
254	119	348
255	119	347
256	119	346
257	120	345
258	120	344
259	120	343
260	120	342
261	121	341
262	121	340
263	121	339
264	121	338
265	122	337
266	122	336
267	122	335
268	122	334
269	123	333
270	123	332
271	123	331
272	124	330
273	124	329
274	124	328
275	124	327
276	125	326
277	125	325
278	125	324
279	125	323
280	126	322
281	126	321
282	126	320
283	126	319
284	127	318
285	127	318
286	127	317
287	127	316
288	128	315
289	128	314
290	128	313
291	128	312
292	129	311
293	129	310
294	129	310
295	130	309
296	130	308
297	130	307
298	130	306
299	131	305
300	131	304
301	131	304
302	131	303
303	132	302
304	132	301
305	132	300
306	132	299
307	133	299
308	133	298
309	133	297
310	133	296
311	134	295
312	134	295
313	134	294
314	134	293
315	135	292
316	135	291
317	135	291
318	135	290
319	136	289
320	136	288
321	136	287
322	137	287
323	137	286
324	137	285
325	137	284
326	138	284
327	138	283
328	138	282
329	138	281
330	139	281
331	139	280
332	139	279
333	139	278
334	140	278
335	140	277
336	140	276
337	140	276
338	141	275
339	141	274
340	141	273
341	141	273
342	142	272
343	142	272
344	142	271
345	143	270
346	143	270
347	143	269
348	144	268
349	144	267
350	144	267
351	144	266
352	145	265
353	145	265
354	145	264
355	145	263
356	146	263
357	146	262
358	146	261
359	146	261
360	147	260
361	147	259
362	147	259
363	147	258
